"","DIM","funcId","ID","runtime","run.1","run.2","run.3","run.4","run.5","run.6","run.7","run.8","run.9","run.10","algid"
"57",30,14,1,2000,0.022847,0.010669,0.013786,0.012573,0.014088,0.017631,0.012094,0.012465,0.013931,0.025904,"conf_6"
"58",30,14,1,5000,0.001152,0.000851,0.000618,0.001027,0.000919,0.000865,0.000761,0.000809,0.000998,0.000825,"conf_6"
"59",30,14,1,10000,8.5e-05,9.6e-05,6.8e-05,0.000103,8.6e-05,8.8e-05,9.7e-05,8.3e-05,0.000115,6.7e-05,"conf_6"
"60",30,14,1,50000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"61",5,15,1,500,2.986995,16.914301,9.962022,17.909228,11.941427,38.354297,31.356318,9.950778,22.757213,8.966615,"conf_6"
"62",5,15,1,2000,2.984877,16.914264,9.94956,17.909223,11.939494,38.354297,11.958813,9.94958,22.584024,8.954621,"conf_6"
"63",5,15,1,5000,2.984877,16.914264,9.94956,17.909223,11.939494,21.888993,11.939494,9.94958,3.979836,8.954621,"conf_6"
"64",5,15,1,10000,2.984877,16.914264,9.94956,17.909223,11.939494,21.888993,11.939494,9.94958,3.979836,8.954621,"conf_6"
"65",5,15,1,50000,2.984877,16.914264,9.94956,17.909223,11.939494,21.888993,11.939494,9.94958,3.979836,8.954621,"conf_6"
"66",30,15,1,500,368.360909,353.396108,310.976307,277.946273,349.850636,383.135099,400.640565,357.856253,369.889739,327.119046,"conf_6"
"67",30,15,1,2000,152.81273,179.182574,72.528147,265.807673,95.433611,153.34915,143.329168,131.33929,120.950266,164.281403,"conf_6"
"68",30,15,1,5000,144.334563,169.14251,70.645012,265.807673,88.551342,143.280489,133.3379,113.455255,118.40089,152.240703,"conf_6"
"69",30,15,1,10000,144.268111,169.142459,70.641977,67.658454,88.551104,143.273411,133.323575,113.424827,118.399759,152.228099,"conf_6"
"70",30,15,1,50000,144.268111,169.142459,70.641977,67.65711,88.551104,143.273411,133.323575,113.424827,118.399759,152.228099,"conf_6"
"71",5,16,1,500,6.027411,11.835953,5.229646,0.752789,2.508998,1.146032,1.994822,12.950164,0.846344,9.526392,"conf_6"
"72",5,16,1,2000,2.78543,0.508497,5.157103,0.705783,2.501533,1.104732,1.957194,12.869099,0.846344,9.380296,"conf_6"
"73",5,16,1,5000,2.707976,0.506004,5.157103,0.705783,2.501533,1.104732,1.957194,2.529349,0.824612,9.380296,"conf_6"
"74",5,16,1,10000,2.707976,0.506004,1.035049,0.705783,2.501533,0.99487,1.957194,2.409635,0.701507,9.380296,"conf_6"
"75",5,16,1,50000,2.707976,0.494483,1.032675,0.705783,2.501533,0.957189,1.680709,1.238152,0.454981,0.453093,"conf_6"
"76",30,16,1,500,12.465339,9.597197,12.565677,10.894258,15.134486,10.808162,17.94587,14.634488,13.613554,17.973294,"conf_6"
"77",30,16,1,2000,3.374817,2.790003,4.119232,2.214639,4.998685,3.136044,8.106675,3.057688,3.476899,5.723007,"conf_6"
"78",30,16,1,5000,2.923656,2.604338,3.897494,2.053178,4.678565,2.894716,7.757792,2.71022,3.230217,5.387496,"conf_6"
"79",30,16,1,10000,2.921937,2.603752,3.89443,2.052454,4.677037,2.888649,7.754562,2.708238,3.228707,5.381433,"conf_6"
"80",30,16,1,50000,2.921937,2.603741,3.89442,2.052454,4.677026,2.888575,7.753952,2.70813,3.228707,5.381377,"conf_6"
"81",5,17,1,500,0.635596,4.909293,3.615039,2.994194,5.548728,2.610149,5.950498,0.567189,0.578589,1.148336,"conf_6"
"82",5,17,1,2000,0.607904,4.909293,3.615033,2.988032,5.548728,2.610137,5.950498,0.566348,0.552054,1.148321,"conf_6"
"83",5,17,1,5000,0.607904,0.67162,0.091034,2.988032,5.548728,2.610137,5.950498,0.566348,0.551796,1.148321,"conf_6"
"84",5,17,1,10000,0.531792,0.67162,0.090223,2.988032,5.534876,2.610137,5.950498,0.566348,0.551795,1.148321,"conf_6"
"85",5,17,1,50000,0.060623,0.01945,0.090223,0.145414,4.960925,0.972646,0.235563,0.566348,0.551795,0.023841,"conf_6"
"86",30,17,1,500,8.226927,7.677423,7.720878,7.092971,7.604185,6.34066,9.129704,6.652765,6.748359,5.716409,"conf_6"
"87",30,17,1,2000,4.998582,5.241361,4.678694,4.427877,4.683501,3.753263,5.702856,4.157313,4.601611,3.482108,"conf_6"
"88",30,17,1,5000,4.985878,5.130567,4.602303,4.361999,4.679037,3.642668,5.41094,4.14583,4.570429,3.373902,"conf_6"
"89",30,17,1,10000,4.985876,5.080106,4.573127,4.32781,4.679036,3.62016,5.368798,4.145828,4.570423,3.307319,"conf_6"
"90",30,17,1,50000,4.985876,5.045062,4.487392,4.323248,4.679036,3.619271,5.365976,4.145828,4.570423,3.286499,"conf_6"
"91",5,18,1,500,22.224485,27.885019,25.619733,36.312016,25.095636,22.208663,0.101861,20.216023,19.148678,29.827725,"conf_6"
"92",5,18,1,2000,22.224482,22.133096,25.619733,34.499397,25.095632,22.208662,0.089249,20.216022,19.148676,27.327944,"conf_6"
"93",5,18,1,5000,22.224482,22.133096,25.619733,23.908508,25.095632,22.208662,0.087457,20.216022,6.329324,16.55042,"conf_6"
"94",5,18,1,10000,22.224482,22.133096,1.438117,23.908508,25.095632,16.271169,0.087457,20.216022,3.70025,0.086943,"conf_6"
"95",5,18,1,50000,22.224482,22.133096,1.438117,0.407055,0.287561,0.075345,0.087457,0.339782,3.70025,0.068684,"conf_6"
"96",30,18,1,500,34.015801,27.591692,23.347342,20.810648,33.173037,26.110011,37.996385,27.523258,19.278106,27.180238,"conf_6"
"97",30,18,1,2000,20.999789,19.926828,13.872746,14.495846,21.74808,18.177232,27.388379,16.963834,9.132339,17.548308,"conf_6"
"98",30,18,1,5000,20.416507,19.734147,13.068657,14.420278,21.213762,17.262057,25.245665,16.340305,9.074842,16.853641,"conf_6"
"99",30,18,1,10000,20.278761,19.649753,12.865584,14.420267,20.990484,17.118018,24.497967,16.311383,9.074821,16.768581,"conf_6"
"100",30,18,1,50000,20.275875,19.618641,12.806703,14.420267,20.986031,17.099312,24.368184,16.298106,9.074821,16.720043,"conf_6"
"101",5,19,1,500,2.061337,1.853734,1.761627,1.688957,1.573846,1.009439,1.702053,2.327599,3.561052,0.762492,"conf_6"
"102",5,19,1,2000,1.942345,0.098174,1.761627,0.939423,1.573846,0.918903,1.387046,0.812123,1.124015,0.227765,"conf_6"
"103",5,19,1,5000,0.892232,0.098174,0.098174,0.400666,0.859686,0.918903,1.387046,0.812123,1.124015,0.227765,"conf_6"
"104",5,19,1,10000,0.892232,0.098174,0.098174,0.149077,0.356414,0.88055,1.387046,0.40984,1.110306,0.227765,"conf_6"
"105",5,19,1,50000,0.586436,0.098174,0.098174,0.131989,0.16886,0.88055,0.559034,0.313988,0.557142,0.227765,"conf_6"
"106",30,19,1,500,6.330208,6.328383,6.969902,6.68535,6.708558,6.686967,6.368915,6.802485,7.157801,7.1959,"conf_6"
"107",30,19,1,2000,6.330208,5.684958,1.428476,6.12168,6.708558,1.229172,6.368915,1.027082,7.157801,7.1959,"conf_6"
"108",30,19,1,5000,6.330208,5.684958,1.007841,5.811845,4.119163,0.318499,6.368915,0.635606,6.299858,6.920773,"conf_6"
"109",30,19,1,10000,6.330208,5.684958,0.657708,5.811845,0.563063,0.260608,6.292253,0.574337,1.647965,6.920773,"conf_6"
"110",30,19,1,50000,5.026443,5.183973,0.329057,4.594012,0.216676,0.152397,5.371116,0.384336,0.284233,5.124113,"conf_6"
"111",5,2,1,500,113.751977,42.226181,23.770895,4.636904,19.127624,74.657495,361.037395,262.211184,410.088612,499.710482,"conf_6"
"112",5,2,1,2000,0,0,0,0,0.000119,0,0,0,0,0,"conf_6"
"113",5,2,1,5000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"114",5,2,1,10000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"115",5,2,1,50000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"116",30,2,1,500,316319.272727,482144.240376,510862.684398,604063.963042,387312.196999,430148.907168,438305.560896,342708.57335,327684.589235,467802.236894,"conf_6"
"117",30,2,1,2000,20281.408516,40392.077668,44521.408365,35707.370748,33488.831721,24143.023416,44372.33862,41937.962722,22630.639064,48775.426775,"conf_6"
"118",30,2,1,5000,4074.738543,7683.152095,6677.084124,4900.467281,1900.136975,4277.658426,5725.187609,5312.75226,6215.684322,8322.671449,"conf_6"
"119",30,2,1,10000,326.902693,1008.534833,245.71855,659.851813,182.469568,562.458227,753.540472,534.083224,689.604881,886.985561,"conf_6"
"120",30,2,1,50000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"121",5,20,1,500,2.607532,1.184385,1.737225,2.928608,1.50043,1.922068,1.500257,0.23783,1.895071,2.875142,"conf_6"
"122",5,20,1,2000,2.560216,1.184383,1.737189,1.737123,1.50043,1.922068,1.500246,0.236877,1.895051,1.026493,"conf_6"
"123",5,20,1,5000,2.501159,1.184383,1.737189,1.737123,1.50043,0.908033,1.500246,0.236877,1.895051,1.026493,"conf_6"
"124",5,20,1,10000,1.460956,1.184383,1.737189,1.737123,1.50043,0.908033,1.500246,0.236877,1.895051,1.026493,"conf_6"
"125",5,20,1,50000,1.460956,1.184383,1.737189,1.737123,1.50043,0.908033,1.500246,0.236877,1.895051,1.026493,"conf_6"
"126",30,20,1,500,3.483145,3.398628,3.433609,3.370736,3.514847,3.717394,3.569771,3.349602,3.668986,3.665733,"conf_6"
"127",30,20,1,2000,1.9359,2.234594,2.300692,2.263069,2.293194,2.347206,1.817922,2.553916,2.521006,2.072171,"conf_6"
"128",30,20,1,5000,1.928124,2.230964,2.296574,2.257203,2.290157,2.152147,1.803165,2.533783,2.501024,2.060064,"conf_6"
"129",30,20,1,10000,1.928124,2.230964,2.296574,2.257203,2.290157,2.152081,1.803165,2.533783,2.501023,2.059962,"conf_6"
"130",30,20,1,50000,1.928124,2.230964,2.296574,2.257203,2.290157,2.152081,1.803165,2.533783,2.501023,2.059962,"conf_6"
"131",5,21,1,500,1.245257,1.245256,1.245256,1.245256,1.245256,1.245256,1.245256,1.245256,1.245256,1.245256,"conf_6"
