"","DIM","funcId","ID","runtime","run.1","run.2","run.3","run.4","run.5","run.6","run.7","run.8","run.9","run.10","run.11","run.12","run.13","run.14","run.15","run.16","run.17","run.18","run.19","run.20","run.21","run.22","run.23","run.24","run.25","run.26","run.27","run.28","run.29","run.30","algid"
"21",5,11,1,500,26.035978,12.008082,15.422982,7.523683,29.548653,11.76317,24.937129,19.336213,15.117652,15.844966,16.799786,40.53196,58.378336,16.816216,12.454818,15.615585,12.329305,4.888292,5.328893,32.285599,31.982734,42.0464,7.288378,19.247244,23.420428,29.381651,10.641324,22.054726,12.802082,3.085259,"conf_1"
"22",5,11,1,2000,0.003369,0.025704,1.819322,1.399747,2.455653,0.68512,0.008193,0.102273,0.467183,0.11383,0.750072,7.563709,1.029357,0.450256,0.254098,3.313214,0.022683,0.006302,1.184948,2.019337,0.110777,6.682166,0.012815,0.015504,0.001012,0.538462,0.000283,0.421661,0.080329,0.188298,"conf_1"
"23",5,11,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_1"
"24",5,11,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_1"
"25",5,11,1,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_1"
"26",30,11,1,500,145.521066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"27",30,11,1,2000,143.177117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"28",30,11,1,5000,81.012813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"29",30,11,1,10000,27.785767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"30",30,11,1,50000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"31",5,12,1,500,132.246173,183.533287,1656.376682,229.329083,56.536772,170.816819,1487.81542,69.61924,213.798625,109.912172,0.111429,1.29467,0.694086,0.772571,0.27087,9.752507,5.792563,2.821205,9.985676,0.503868,220.578303,209.486768,111.994451,57.063644,82.790445,63.407132,9.024764,32.180164,27.301218,36.737904,"conf_1"
"32",5,12,1,2000,0.263956,3.19743,7.285802,2.233504,0.566235,2.784681,1.937231,4.507121,0.280498,0.001204,0.001329,0.106973,0.000575,0.02293,0.00217,2.882777,0.81024,0.202808,0.000398,0.006289,0.308578,0.03489,2.03808,0.000296,0.667268,0.005722,0.002976,0.110552,0.557668,1.5e-05,"conf_1"
"33",5,12,1,5000,0,0,0.00183,0,0,0,7e-06,0.000293,0,0,0,0,0,0,0,0.000252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_1"
"34",5,12,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_1"
"35",5,12,1,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_1"
"36",30,12,1,500,9729056.504056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"37",30,12,1,2000,26851.179748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"38",30,12,1,5000,2.878281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"39",30,12,1,10000,2.645946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"40",30,12,1,50000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"41",5,13,1,500,7.547322,31.578578,24.31378,7.881899,2.031211,4.267615,5.609033,1.326456,6.19172,7.130946,7.590674,7.819665,14.318249,6.024481,0.823587,1.099823,10.197017,16.4027,21.611897,17.893986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"42",5,13,1,2000,0.000887,0.000576,0.000415,4.1e-05,0.017412,0.077852,0.005719,0.053029,0.001114,0.01133,0.015899,0.366597,0.001539,0.157514,0.010891,0.419278,6.7e-05,0.000785,0.002204,0.001166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"43",5,13,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"44",5,13,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"45",5,13,1,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"46",30,13,1,500,915.229401,881.120865,842.485802,906.448357,971.227346,845.085339,925.748535,930.457806,758.300266,978.193654,551.507076,454.083507,688.32416,642.740317,714.504,547.027833,713.406847,557.131009,611.714801,575.416133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"47",30,13,1,2000,63.494188,48.565381,65.054453,59.800899,52.392712,64.19133,63.761594,67.791755,63.517627,78.799613,7.420208,6.719103,8.197492,8.690282,16.444501,7.50071,8.474065,11.236098,7.436938,10.314018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"48",30,13,1,5000,0.367663,4.177872,1.984055,4.004941,2.266471,0.285094,0.370063,11.761218,5.127593,12.236277,0.030886,0.437672,0.30792,0.019022,1.23211,0.396061,0.444607,3.011179,0.004617,0.391767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"49",30,13,1,10000,0.069643,4.031442,1.8288,3.780136,2.070178,0.048562,0.0405,11.513479,4.959863,12.010786,0.028934,0.436047,0.305612,0.016627,1.226857,0.393963,0.442613,3.009562,0.002934,0.389814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"50",30,13,1,50000,0.069619,4.031424,1.828793,3.780119,2.070164,0.048542,0.040475,0,4.959848,0,0.028934,0.022952,0.013209,0.000584,3e-06,0.084765,0.420737,0.135865,0.002934,0.389814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"51",5,14,1,500,0.002361,0.003575,0.001647,0.003553,0.008923,0.00227,0.000981,0.002439,0.001228,0.001847,0.002317,0.001023,0.005289,0.000917,0.001446,0.003394,0.001073,0.001018,0.001379,0.00163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"52",5,14,1,2000,0,0,0,0,0,0,0,0,1e-06,0,0,1.2e-05,0,0,2e-06,2e-06,2e-06,1e-06,0,2e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"53",5,14,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"54",5,14,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"55",5,14,1,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"56",30,14,1,500,6.641071,7.315151,6.634015,6.939468,4.658834,8.222867,6.218829,6.633313,3.75845,7.628832,3.664968,3.084707,4.223232,3.539934,5.599273,4.370397,2.555411,3.085423,3.994545,2.372437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"57",30,14,1,2000,0.061531,0.056587,0.044461,0.087322,0.056891,0.069767,0.051547,0.047272,0.045466,0.046944,0.006704,0.007137,0.008454,0.006008,0.012412,0.010051,0.004142,0.006657,0.00844,0.006655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"58",30,14,1,5000,0.001068,0.001171,0.00139,0.001559,0.001724,0.002149,0.001218,0.001553,0.000999,0.000878,0.00063,0.000261,0.000455,0.000386,0.000348,0.000552,0.000451,0.000398,0.000567,0.00049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"59",30,14,1,10000,9e-05,0.000125,0.000108,9.2e-05,0.000115,0.000132,0.000121,0.000202,7.9e-05,7.9e-05,0.000101,5.4e-05,5.3e-05,5.4e-05,6.6e-05,6.4e-05,2.7e-05,4.1e-05,5.2e-05,8.7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"60",30,14,1,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"61",5,15,1,500,8.187533,29.279517,3.260178,7.622392,14.018935,6.076965,9.12785,17.384242,11.582922,6.204625,4.103862,7.097781,6.972832,7.994082,11.984979,15.017658,7.186657,10.196,9.984256,2.254696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"62",5,15,1,2000,6.964708,20.002161,1.989918,6.964708,13.929412,5.969749,8.954621,17.384242,11.582922,5.969749,3.979836,6.964708,6.964708,7.959667,11.939478,14.924351,6.964708,9.94958,9.94958,1.989918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"63",5,15,1,5000,6.964708,6.964708,1.989918,6.964708,13.929412,5.969749,8.954621,5.969749,1.989918,5.969749,3.979836,6.964708,6.964708,1.989918,4.97479,8.954621,1.989918,1.989918,1.989918,0.994959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"64",5,15,1,10000,6.964708,6.964708,1.989918,6.964708,13.929412,5.969749,8.954621,5.969749,1.989918,5.969749,3.979836,2.984877,6.964708,1.989918,4.97479,3.979836,1.989918,0.994969,1.989918,0.994959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"65",5,15,1,50000,6.964708,6.964708,1.989918,6.964708,13.929412,5.969749,8.954621,5.969749,1.989918,5.969749,0.994959,2.984877,0,1.989918,3.979836,3.979836,1.989918,0.994959,0.994959,0.994959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"66",30,15,1,500,381.055755,383.097149,336.024017,334.844687,325.918084,377.686468,397.890771,338.501692,374.322405,324.990569,301.856859,259.082361,293.392645,300.241753,340.068422,261.756227,276.33339,270.843805,313.722858,308.050788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"67",30,15,1,2000,227.134434,89.789261,263.41043,82.630537,309.351954,311.621591,343.182731,110.869638,77.085552,81.768396,53.566211,64.971643,63.164843,67.899392,100.628861,44.953572,70.378983,76.865541,51.357058,70.194622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"68",30,15,1,5000,129.582827,83.577326,257.755252,76.752824,309.351954,144.092111,334.949546,104.476627,66.666534,76.62178,52.732795,62.683871,62.68232,66.662108,100.490394,43.778172,69.647092,75.616767,50.742826,68.653418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"69",30,15,1,10000,47.759014,83.576374,68.789182,76.611628,309.351954,100.49119,115.958449,104.470282,66.662075,76.611661,52.732739,62.682239,62.68232,66.662085,100.490394,43.778168,69.646982,75.616767,50.742826,68.651998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"70",30,15,1,50000,47.757929,83.576374,66.662166,76.611625,111.434985,100.490638,114.419613,104.470282,66.662075,76.611661,38.803353,58.702413,55.717621,43.778128,40.793271,43.778168,45.768036,47.757979,50.742826,48.752943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"71",5,16,1,500,2.085981,1.824661,21.93533,0.206185,0.584863,0.006858,1.625597,0.750723,1.321122,7.864965,5.334032,1.619026,6.154723,0.89321,3.088483,0.011516,0.38109,0.181021,2.475657,2.645642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"72",5,16,1,2000,1.692867,1.449669,15.602398,0.066586,0.27,0,1.403775,0.427786,1.089258,7.521769,4.846631,1.441533,6.154723,0.754216,2.69831,0.002958,0.244423,0.136977,2.329153,1.888066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"73",5,16,1,5000,1.692867,1.449669,9.543173,0.066586,0.27,0,1.403775,0.427786,1.089258,7.521769,3.014993,0.753511,6.154723,0.754216,0.608226,0.002958,0.244423,0.136977,0.27,1.217606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"74",5,16,1,10000,1.692867,1.449669,9.543173,0.066586,0.27,0,1.403775,0.427786,1.089258,7.521769,0.677051,0.681236,0.703487,0.518578,0.608226,0.002958,0.244423,0.136977,0.27,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"75",5,16,1,50000,1.692867,1.449669,0.698568,0.066586,0.27,0,1.403775,0.427786,1.089258,7.521769,0.23442,0.27,0.002831,0.288659,0.347462,0.002958,0.244423,0.136977,0.27,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"76",30,16,1,500,19.794745,21.688874,15.484697,20.620693,20.972325,17.501513,30.326417,20.722909,17.443086,9.937574,7.112718,14.840702,7.806522,8.272166,8.952448,8.459362,10.652103,9.761911,11.427771,8.244487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"77",30,16,1,2000,9.296988,8.801511,5.483242,6.361116,7.414754,3.602724,15.274155,7.486011,3.54671,1.073881,1.866383,4.97989,1.703913,1.025434,2.304389,1.36922,2.475388,1.937766,2.10841,2.938036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"78",30,16,1,5000,8.50929,8.187238,5.063009,5.717691,6.843432,3.150296,14.711915,6.888571,2.902379,0.846804,1.746871,4.791889,1.563509,0.945466,2.152751,1.262498,2.29571,1.839271,1.999096,2.837875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"79",30,16,1,10000,8.506248,8.181404,5.060422,5.712508,6.839526,3.1491,14.709986,6.881858,2.900492,0.845258,1.746077,4.79177,1.563313,0.944635,2.151927,1.26149,2.295407,1.839065,1.999054,2.837841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"80",30,16,1,50000,8.506243,8.181401,5.058989,5.711794,6.839253,3.149094,14.709984,6.881628,2.900488,0.845252,1.387155,2.837867,1.563313,0.94463,1.858923,1.26148,0.527317,1.839065,1.757041,2.837841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"81",5,17,1,500,0.054813,4.007109,3.703031,0.950036,0.225269,0.69531,4.021549,0.03487,2.244264,2.560455,4.958422,1.68799,3.658211,1.200596,1.100157,0.067884,0.016314,0.087181,3.355882,0.026576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"82",5,17,1,2000,0.006305,4.006884,2.578071,0.950036,0.162236,0.667487,3.334694,0.011997,0.20304,2.448128,4.958217,1.626837,3.653313,1.200388,1.036297,0.036341,0.004792,0.052555,3.323244,0.003757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"83",5,17,1,5000,0.0063,4.006884,2.438883,0.560109,0.162234,0.667486,2.9671,0.011997,0.000795,2.448123,4.958217,1.626587,3.653313,1.200388,1.036295,0.036176,0.004792,0.052554,0.331963,0.003757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"84",5,17,1,10000,0.0063,4.006884,2.438883,0.560109,0.162234,0.667486,2.9671,0.01165,0.000653,2.448123,1.404653,1.626587,3.653313,1.200388,1.036295,0.010874,0.004792,0.052554,0.303986,0.003757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"85",5,17,1,50000,0.0063,1.658875,1.650396,0.545901,0.162234,0.661604,2.557619,0.01165,0.000653,2.448123,0.004348,0.261012,0.371355,0.790722,1.3e-05,0.000705,0.004792,0.052554,0.303986,0.003757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"86",30,17,1,500,4.534136,4.972057,5.023354,4.227403,7.865661,4.43473,5.096808,4.100808,4.06278,5.81859,3.410985,4.787126,2.636093,2.918452,3.447489,3.875266,6.37787,3.875783,2.717032,3.211607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"87",30,17,1,2000,1.899508,1.400754,1.237377,2.025721,5.110962,1.837247,0.760168,0.392377,1.008082,3.466453,0.37939,1.895835,0.061913,0.051656,0.214179,1.550348,4.282189,0.507702,0.106565,0.536002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"88",30,17,1,5000,1.833822,1.337668,1.175111,1.980918,4.896739,1.801133,0.691196,0.329627,1.008082,3.405924,0.31626,1.879717,0.030865,0.022203,0.18765,1.527017,4.271984,0.453781,0.058324,0.501528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"89",30,17,1,10000,1.788042,1.33766,1.175103,1.980909,4.798718,1.801124,0.691188,0.32962,0.786289,3.402421,0.316174,1.879715,0.030854,0.022183,0.187638,1.527015,4.239503,0.45376,0.058286,0.095252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"90",30,17,1,50000,1.768812,1.33766,1.175103,1.980909,4.731212,1.801124,0.691188,0.32962,0.785273,3.402126,0.129404,1.879715,0.030854,0.022183,0.187638,1.527015,0.057007,0.45376,0.058286,0.066377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"91",5,18,1,500,13.85633,27.11725,3.898688,10.31331,0.251203,2.70528,14.487896,0.221497,13.674381,19.120565,0.568292,0.460806,16.800583,11.782875,15.997788,15.072642,28.57026,0.089244,7.311518,9.669565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"92",5,18,1,2000,13.854361,27.116636,3.758005,10.196069,0.202635,2.700659,3.786588,0.099434,13.390885,19.117157,0.409903,0.385724,16.799185,11.699534,15.135652,15.070154,28.570099,0.019203,7.311096,9.666884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"93",5,18,1,5000,13.854361,27.116636,3.758002,10.196066,0.202633,1.8852,1.026889,0.099433,11.066824,19.117157,0.399387,0.385665,16.799185,11.699534,15.135652,15.070154,17.633493,0.019203,7.311096,9.666884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"94",5,18,1,10000,13.854361,27.116636,3.758002,10.196066,0.202633,0.210338,1.026889,0.099433,11.065166,19.117157,0.399387,0.385665,16.799185,11.699534,14.640358,15.070154,17.633493,0.019203,7.311096,9.666884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"95",5,18,1,50000,0.031953,18.31735,3.758002,10.196066,0.202633,0.208909,1.026889,0.099433,11.065166,15.940485,0.202229,0.385665,1.156274,11.699534,10.049828,9.289499,0.156011,0.019203,4.807629,0.217403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"96",30,18,1,500,16.276463,11.933299,17.003218,13.247095,15.81355,21.014,18.522336,15.324361,29.999289,16.629343,15.184749,26.086045,21.172434,11.670079,7.876598,10.663524,23.473898,12.016256,19.637872,11.05508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"97",30,18,1,2000,6.666844,4.419052,4.928509,7.106289,4.518833,6.024944,5.336446,4.183241,20.794589,7.127881,4.745963,18.750711,11.258497,1.766542,1.529267,0.659396,16.611875,2.197565,9.98161,1.178694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"98",30,18,1,5000,6.068793,4.115591,4.477247,6.965624,4.274733,5.767791,4.934358,3.957149,19.976794,7.127881,4.651113,18.725514,10.862765,1.649576,1.422745,0.492839,16.395799,2.035897,9.932683,0.949592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"99",30,18,1,10000,5.89542,4.115433,4.476836,6.965528,4.274578,5.767687,4.934178,3.957019,19.715194,5.986373,4.651104,18.725513,10.803687,1.649519,1.422729,0.492778,16.294853,2.035848,9.932643,0.949563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"100",30,18,1,50000,5.78507,4.115433,4.476836,6.965528,4.274578,5.767687,4.934178,3.957019,19.680404,5.986373,4.651104,18.725513,10.336541,1.649519,1.422729,0.492778,16.2424,2.035848,3.22587,0.949563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"101",5,19,1,500,2.51362,1.093919,0.988524,1.864936,2.751621,3.869527,2.433902,0.974655,1.744145,0.898584,0.32351,0.491593,0.20858,0.298416,0.256836,0.462089,0.171549,0.615295,0.241724,0.061348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"102",5,19,1,2000,1.157985,1.093919,0.638512,1.67982,2.751621,1.945182,2.433902,0.974655,1.628475,0.898584,0.282743,0.490874,0.200276,0.235619,0.247925,0.419095,0.164933,0.369137,0.212057,0.055288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
