"","DIM","funcId","ID","runtime","run.1","run.2","run.3","run.4","run.5","run.6","run.7","run.8","run.9","run.10","run.11","run.12","run.13","run.14","run.15","run.16","run.17","run.18","run.19","run.20","algid"
"37",30,12,1,2000,127.592712,598.251984,341.726874,165.078599,414.133554,511.93045,171.935558,517.91735,432.474407,176.003461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"38",30,12,1,5000,6.789746,25.401302,8.741669,1.570723,26.885056,10.650888,3.541904,40.730341,52.784623,2.080603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"39",30,12,1,10000,3.070059,14.326978,4.488802,0.753931,15.423667,5.337995,1.785597,23.820198,29.319069,0.903917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"40",30,12,1,50000,0,2e-06,0,0,1e-06,0,0,9.7e-05,4e-05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"41",5,13,1,500,26.585334,12.441092,4.04825,10.879366,0.282398,8.277478,15.747021,14.181297,20.763693,2.533408,17.033079,22.914064,0.428025,6.251668,14.607872,27.220879,2.647134,0.752602,1.277036,0.34581,"conf_10"
"42",5,13,1,2000,0.00348,0.000261,0.043249,0.007201,0.228759,0.00017,0.01315,0.046642,0.001525,0.000462,3.9e-05,8.3e-05,0.165965,0.000295,5.093673,6e-06,2.414952,0.38351,1.181282,0.156783,"conf_10"
"43",5,13,1,5000,0,0,0,0,0,0,0,0,0,0,3.7e-05,8.3e-05,0,0,0,0,0,0,0,0,"conf_10"
"44",5,13,1,10000,0,0,0,0,0,0,0,0,0,0,2.3e-05,8.3e-05,0,0,0,0,0,0,0,0,"conf_10"
"45",5,13,1,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_10"
"46",30,13,1,500,654.849838,652.39468,837.66266,584.777936,621.595437,585.521916,673.462884,569.433791,728.74849,632.224175,648.731448,627.989709,615.110121,603.986286,645.726553,509.398169,662.565467,578.176017,662.423147,581.543847,"conf_10"
"47",30,13,1,2000,26.090357,10.874151,20.354991,12.155467,12.579833,19.643872,25.757046,15.871926,31.435312,18.412279,5.782087,7.189158,3.704557,7.396608,9.52827,4.844458,7.160156,5.267464,3.764002,5.974622,"conf_10"
"48",30,13,1,5000,7.236262,0.246652,0.138546,0.012156,1.977522,1.918217,8.847829,7.2722,18.634274,9.084496,2.156916,2.23897,0.003951,3.563995,1.586828,0.995526,1.331318,0.67472,0.983708,2.630374,"conf_10"
"49",30,13,1,10000,7.230196,0.243969,0.132946,0.010173,1.975229,1.912235,8.843345,7.26858,18.628352,9.07889,2.156806,2.238776,0.003791,3.563914,1.586632,0.9954,1.33101,0.674557,0.983634,2.630247,"conf_10"
"50",30,13,1,50000,7.230196,0.243969,0.132946,0.010173,1.975229,1.912235,8.843345,7.26858,0.001893,9.07889,0.026318,0.014605,0.003791,0.023486,0.408701,0.242317,0.016034,0.457563,0.000222,0.000823,"conf_10"
"51",5,14,1,500,6e-04,0.000305,9.2e-05,0.00066,0.001083,0.000944,0.000114,0.000397,0.001188,0.000121,0.001586,0.001451,0.000803,0.000418,0.000982,6.1e-05,0.000119,0.000556,0.000441,0.001202,"conf_10"
"52",5,14,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,1e-06,0,0,"conf_10"
"53",5,14,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_10"
"54",5,14,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_10"
"55",5,14,1,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_10"
"56",30,14,1,500,2.445737,4.602133,3.711445,3.416705,3.593096,3.557207,2.651916,3.278602,4.16966,3.454648,4.160959,3.177048,4.626301,4.321881,2.893177,3.211429,2.336292,3.125571,3.963957,2.563322,"conf_10"
"57",30,14,1,2000,0.008892,0.013692,0.012867,0.01373,0.008919,0.014693,0.010691,0.019593,0.012784,0.011989,0.008889,0.004075,0.008941,0.005602,0.009426,0.006152,0.008298,0.007,0.006647,0.005786,"conf_10"
"58",30,14,1,5000,0.000828,0.000771,0.000805,0.000595,0.000647,0.000905,0.001036,0.001064,0.000839,0.000607,0.000603,0.000428,0.000564,0.000632,0.000484,0.000471,0.000352,0.000533,0.000417,0.000746,"conf_10"
"59",30,14,1,10000,9.7e-05,7.9e-05,6.1e-05,7.5e-05,7.7e-05,0.000146,6.5e-05,9.4e-05,7.1e-05,9.7e-05,0.000106,7.7e-05,5.4e-05,5.3e-05,6.4e-05,5.1e-05,4.2e-05,7.5e-05,7.7e-05,7.4e-05,"conf_10"
"60",30,14,1,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_10"
"61",5,15,1,500,12.935062,9.956654,4.975735,19.303945,18.906533,1.990573,17.693971,9.951668,7.968272,9.95082,9.210689,2.010705,6.043109,2.190105,12.940617,5.986139,3.150477,13.949477,3.518479,4.001125,"conf_10"
